,Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
CA-2011-130918,41508,,,,,,,7.632,,,,,
CA-2011-131527,41609,,,,,,,,,,95.968,,
CA-2011-131541,41483,,,,193.152,,,,,,,,
CA-2011-131905,41311,,321.56,,,,,,,,,,
CA-2011-132010,41560,,,389.74,,,,,,,,,
CA-2011-132612,41434,,,,,,,1441.3,,,,,
CA-2011-133634,41583,,,,,,,,,,,,47.79
CA-2011-134551,41628,,,,,,,,,,732.312,,
CA-2011-134621,41629,,,,,,,,,,,,18.24
CA-2011-136336,41385,,,,,,,,,,,828.84,
CA-2011-136567,41628,,,2884.37,,,,,,,,,
CA-2011-136861,41522,31.984,,,,,,,,,,,
CA-2011-137911,41556,,,,,,,,,,,88.768,
CA-2011-138296,41613,,,,,,,,,,24.56,,
CA-2011-138527,41529,,,,,,,,,,,192.424,
CA-2011-138709,41459,,,,,,,,,,37.44,,
CA-2011-140165,41407,,,405.456,,,,,,,,,
CA-2011-140886,41547,,,,,,,,,,69.216,,
CA-2011-142727,41393,,,,,,,69.9,,,,,
CA-2011-142951,41555,,,,23.472,,,,,,,,
CA-2011-143182,41562,,,,,,,,,,15.384,,
CA-2011-143840,41416,,,,,,,,,,180.93,,
CA-2011-145317,41351,,,,,,,,,,,,23661.228
CA-2011-145576,41531,,,,,,,26.128,,,,,
CA-2011-146731,41581,,,,,,,,,,147.344,,
CA-2011-146885,41424,,,,,,,,,,,13.62,
CA-2011-148285,41574,,,,,,,,,,,,22.32
CA-2011-148425,41608,,,,,,,,,,,6.642,
CA-2011-149020,41284,,,,,,,,,,,54.83,
CA-2011-149538,41368,,,,,,,,,,,364.93,
CA-2011-149958,41348,,,,,,,,,,370.782,,
CA-2011-151953,41537,,,,,,,,,,,2.816,
CA-2011-151967,41569,,,,,,,,,,,129.92,
CA-2011-152254,41455,,,,310.688,,,,,,,,
CA-2011-152268,41519,,,,,,,,,,1793.98,,
CA-2011-152562,41579,,,,,,,,,,,75.16,
CA-2011-152849,41460,,,,,,,,,,,4.368,
CA-2011-153087,41635,,,,,,,,,,,521.92,
CA-2011-153913,41624,,,,,,,,1015.816,,,,
CA-2011-153927,41498,286.65,,,,,,,,,,,
CA-2011-154158,41631,,,,,,,619.848,,,,,
CA-2011-155208,41380,,,,,,,,,,,39.072,
CA-2011-155390,41614,,,,,,,,,,42.208,,
CA-2011-155852,41336,,,,,,,19.456,,,,,
CA-2011-156006,41394,,,,,,,47.79,,,,,
CA-2011-156244,41498,,,,,,,,,,,,457.744
CA-2011-156790,41494,,,,,,,155.456,,,,,
CA-2011-157609,41349,,,,,,,,,471.92,,,
CA-2011-157784,41460,514.03,,,,,,,,,,,
CA-2011-158274,41597,,,,,,,,,682.91,,,
CA-2011-158470,41383,,,,,,,129.33,,,,,
CA-2011-158771,41403,,,,,158.71,,,,,,,
CA-2011-159184,41531,,,,,,,,,,149.56,,
CA-2011-159681,41615,,,,,,,,,,105.52,,
CA-2011-160094,41394,1000.95,,,,,,,,,,,
CA-2011-160276,41366,,,,,,,,,,,177.68,
CA-2011-160773,41456,,,,,,,,,,,581.104,
CA-2011-161634,41592,,,,,,,,,,32.4,,
CA-2011-162775,41287,,,,,,,,1287.26,,,,
CA-2011-163013,41606,,,,,,,,,,14.67,,
CA-2011-163223,41354,,,,,,,,,,,3769.56,
CA-2011-163293,41525,,116.85,,,,,,,,,,
CA-2011-164315,41366,,,,,,,,,,1220.67,,
CA-2011-164749,41356,9.912,,,,,,,,,,,
CA-2011-164910,41590,,,,,,,,7.872,,,,
CA-2011-165764,41581,,,,,,,,,,1395.673,,
CA-2011-165806,41371,,,,,,259.29,,,,,,
CA-2011-166051,41425,,,,,,,,,,773.7,,
CA-2011-166457,41399,,,,,,,40.54,,,,,
CA-2011-166730,41638,39.128,,,,,,,,,,,
CA-2011-167199,41280,,,,,,,,,,,,4374.88
CA-2011-167850,41495,,,,,,,,,,,193.936,
CA-2011-169257,41431,,,,,,,,,,63.381,,
CA-2011-169684,41567,,426.942,,,,,,,,,,
CA-2011-169775,41515,,,,,,,709.0425,,,,,
CA-2012-100769,41775,,,,,,255.968,,,,,,
CA-2012-100888,41735,,,,,,,,,,47.952,,
CA-2012-101868,41799,,,,,,,,,,175.32,,
CA-2012-102260,41904,,,,,,,,,,,,763.508
CA-2012-102491,41875,,,,,,,,,,3747.93,,
CA-2012-102582,41897,,,,,,,,,,1918.79,,
CA-2012-102722,41747,106.5,,,,,,,,,,,
CA-2012-102778,41964,18.176,,,,,,,,,,,
CA-2012-103093,41673,,,,,,,,,,74.52,,
CA-2012-103135,41844,,,,,,,,,,,,525.95
CA-2012-103772,41818,,,,,,,,,,,,260.31
CA-2012-103793,41724,,,,,,,,,,,74.352,
CA-2012-103870,42000,,,,,,,,,,,284.44,
CA-2012-104038,41676,,176.63,,,,,,,,,,
CA-2012-104115,41802,,,,,,,,,,55.984,,
CA-2012-104241,41643,,,,,,,,,,,192.22,
CA-2012-104941,41803,,,,,,,,,,,976.29,
CA-2012-105571,41950,,,,,,,,,,,1361.631,
CA-2012-106187,41813,,,,,,,,,,,268.4,
CA-2012-107678,41750,,,,,,,,,,893.09,,
CA-2012-108119,41944,,,,,,,,,,301.96,,
CA-2012-108259,41951,,,,,,,,,,,81.135,
CA-2012-109386,41951,,,,,,,750.93,,,,,
CA-2012-109470,42004,,,,,,,,596.48,,,,
CA-2012-109708,41784,,,,,,,,467.04,,,,
CA-2012-110247,41977,,,,,,,,,,8.226,,
CA-2012-110345,41707,,,,,,,4.608,,,,,
CA-2012-110947,41799,,,,,,,,,,,,113.1
CA-2012-111199,41956,,,,,,,,,,115.296,,
CA-2012-111703,41822,,,,,,,,,,27.504,,
CA-2012-112375,41994,,,,,,,,,,78.192,,
CA-2012-113628,41955,,,,,,,,,,,792.508,
CA-2012-114300,41925,,,,,,,,,,371.66,,
CA-2012-114503,41956,,,,,,,,,,84.96,,
CA-2012-115091,41917,,,,,,,,,,,,75.04
CA-2012-115847,41901,,,,,,,,,61.96,,,
CA-2012-115938,41816,,,,,,,,,,535.36,,
CA-2012-116638,41667,,,,,,,4297.644,,,,,
CA-2012-116750,41825,,,,,,,,12.158,,,,
CA-2012-117828,41996,194.32,,,,,,,,,,,
CA-2012-117884,41720,,,,598.352,,,,,,,,
CA-2012-118444,41948,,,,,,,,,,387.136,,
CA-2012-118843,41895,,,,,,,,,,199.86,,
CA-2012-119480,41648,,,,,,,,,,364.07,,
CA-2012-119592,41987,,,,,,,,3.76,,,,
CA-2012-119634,41862,,,,,,,,,,46.152,,
CA-2012-120516,41864,,,,,,,,,,5.64,,
CA-2012-120621,41719,,,,,,,,,,1270.379,,
CA-2012-120845,41907,,,,,,,,,,,22.549,
CA-2012-121552,41720,,,,,,,,,,,19.56,
CA-2012-121720,41801,,3165.744,,,,,,,,,,
CA-2012-122168,41872,,,,,,,,,,,53.28,
CA-2012-122266,41755,,,,,,,,,,194.1395,,
CA-2012-123092,41976,,,,,,,,,,288.85,,
CA-2012-123330,41811,,,,,,,,,,107.976,,
CA-2012-125066,41987,,,,,,,,,,,62.46,
CA-2012-125563,41740,,,,,,,,,,121.888,,
CA-2012-125696,41914,,,,,,,,,,,,7.38
CA-2012-125976,41909,,,,,,,,,,2026.78,,
CA-2012-128027,41896,,,,,,,269.49,,,,,
CA-2012-128083,41710,,,,,,,,,,,45.976,
CA-2012-128139,41823,,,,,,,,,,365.91,,
CA-2012-128958,41663,,,,,,,,,,,,13.12
CA-2012-129098,41921,,,,,,,,,,30.84,,
CA-2012-130218,41721,59.48,,,,,,,,,,,
CA-2012-131422,41948,,,,,,,,,,,207,
CA-2012-132318,41942,182.91,,,,,,,,,,,
CA-2012-133242,41808,,,,,,,,,,1046.47,,
CA-2012-133396,41864,,64.68,,,,,,,,,,
CA-2012-133977,41888,,,,,,,,,3.444,,,
CA-2012-134257,41714,,,,,,,498.93,,,,,
CA-2012-134719,41922,,,,,,,,,,1801.632,,
CA-2012-134782,42000,,,,,,,,,,105.42,,
CA-2012-134894,41980,,,,,,,,,,436.86,,
CA-2012-134992,41904,,,,,,,,,80.38,,,
CA-2012-135510,41887,,,,,,,,,,,,67.96
CA-2012-136147,41956,,,,,,,,,,233.064,,
CA-2012-136224,41790,,,,10.272,,,,,,,,
CA-2012-137106,41729,,,,,,,,,,,79.96,
CA-2012-137281,41803,,,,,,,,,,,6.48,
CA-2012-137974,41745,2298.9,,,,,,,,,,,
CA-2012-138457,41895,,,,,,,,,,13.092,,
CA-2012-138625,41945,197.72,,,,,,,,,,,
CA-2012-140718,41822,,246.364,,,,,,,,,,
CA-2012-140830,41973,,,,,,,,,89.36,,,
CA-2012-141145,41899,,,,,,,,,,87.168,,
CA-2012-141327,41973,440.144,,,,,,,,,,,
CA-2012-141565,41902,,,,,,,,,,1664.132,,
CA-2012-141754,41993,,,,,,,,,,,,11.696
CA-2012-142202,41900,,,,,,,,717.12,,,,
CA-2012-142755,41886,,,,,,,,,,919.49,,
CA-2012-143119,41906,,,,,,,,,,517.5,,
CA-2012-143532,41717,,,,,,,,,,14.496,,
CA-2012-144288,41998,,,,,,,,,,19.584,,
CA-2012-145324,41958,,,,,,,,,,,,39.96
CA-2012-145352,41714,,,,,,,,,,6412.77,,
CA-2012-147011,41808,,,,,,,,,,,13.632,
CA-2012-147102,41901,,,,,,,,,,,66.36,
CA-2012-147529,41677,,,,,,,,,,,324.11,
CA-2012-147879,41766,,,,,,,,,,45.68,,
CA-2012-148705,41710,,,,,,,,,,5.04,,
CA-2012-149300,41965,32.985,,,,,,,,,,,
CA-2012-149342,41749,,,,,,,,,,,896.31,
CA-2012-149734,41885,,,,,,,,,,,200.984,
CA-2012-150308,41988,,,,,,,,,,,246.168,
CA-2012-150560,41984,196.62,,,,,,,,,,,
CA-2012-150749,41727,,,,,,,5.56,,,,,
CA-2012-151547,41656,,,,,,,,,,88.96,,
CA-2012-151624,41890,,,,,,,,,,,21.36,
CA-2012-153038,41991,,,,,,,,,,,94.688,
CA-2012-153325,41699,,,,,,,58.72,,,,,
CA-2012-153535,41779,,,,,,,,,,169.544,,
CA-2012-153549,41727,,,,,,,,,1166.92,,,
CA-2012-153626,41829,,,,,,,,,,5.16,,
CA-2012-153752,41979,,,,,,,173.94,,,,,
CA-2012-154291,41845,,,,,,,,,,,457.04,
CA-2012-154746,41957,,860.07,,,,,,,,,,
CA-2012-154921,41782,,,,,,,,,,,186.69,
CA-2012-155068,41935,,,,78.456,,,,,,,,
CA-2012-155453,41860,,,,,,,,,,,4.608,
CA-2012-155600,41977,,,,,,,1635.018,,,,,
CA-2012-155635,41768,,,,,,,,,,48.81,,
CA-2012-156328,41973,,,,,,,,,,177.48,,
CA-2012-156734,41808,,670.001,,,,,,,,,,
CA-2012-158148,41993,,,,,,,,,,36.27,,
CA-2012-158323,41973,,17.088,,,,,,,,,,
CA-2012-158421,41903,,,,,,,,,,3631.96,,
CA-2012-160059,41970,,,,,,,,,,,,6.24
CA-2012-160696,41888,,,,,,,,,,,7.24,
CA-2012-161445,41889,,,,,,,,140.736,,,,
CA-2012-161998,41760,,,,,,,,,,,277.632,
CA-2012-162201,41798,,,,,,,,,,,937.608,
CA-2012-162537,41940,,,,,,,,,,104.51,,
CA-2012-162761,41921,,,,,,,,,,50.462,,
CA-2012-163237,41858,,,,,,,,520.03,,,,
CA-2012-163923,41789,,,,,,,,,,,,151.96
CA-2012-163965,41963,,,,,,,,,,377.902,,
CA-2012-164427,41851,,,,,,,,,,,239.7,
CA-2012-165414,41994,47.976,,,,,,,,,,,
CA-2012-165624,41874,,,,,,,,,,1142.43,,
CA-2012-166604,41774,,,,,,,,17.94,,,,
CA-2012-166975,41969,,,,,,,,,,,692.472,
CA-2012-167696,41898,,,,,,,,,,31.12,,
CA-2012-168004,41916,,,,,,,,392.94,,,,
CA-2012-168459,41965,,,,,,,,,,58.05,,
CA-2012-169572,41888,,,,,,,,,,,46.62,
CA-2012-169677,41652,,,,,,,,9.82,,,,
CA-2012-169733,41934,,,,,,,9.952,,,,,
CA-2012-169740,41690,,,,,,,,,,29.99,,
CA-2013-100307,42354,,,,,,,,,,,,19.44
CA-2013-101378,42200,,,,29,,,,,,,,
CA-2013-101469,42188,,,,,,,,,,7.7,,
CA-2013-101525,42126,,,,,,,140.52,,,,,
CA-2013-102092,42348,1056.86,,,,,,,,,,,
CA-2013-102162,42259,,,,,,,,,,1611.01,,
CA-2013-102498,42210,73.2,,,,,,,,,,,
CA-2013-104157,42211,,,,,,,,,,2503.47,,
CA-2013-104276,42336,,,,,,,,,,447.783,,
CA-2013-105256,42145,,,,1363.96,,,,,,,,
CA-2013-105662,42130,,,,,,,,,,,,270.728
CA-2013-105753,42298,,,,,,,,,,,,61.1
CA-2013-106558,42021,,,,,,,,,,,316,
CA-2013-106894,42042,,,,107.83,,,,,,,,
CA-2013-106950,42250,,,,,,,,,,1854.241,,
CA-2013-108105,42051,,,,,,,,,,323.88,,
CA-2013-108567,42145,,,,,,,,,,2.694,,
CA-2013-108616,42277,,,,,,,,,,298.83,,
CA-2013-109344,42043,,,,,,,,,1127.976,,,
CA-2013-109407,42028,,,,,,,,31.36,,,,
CA-2013-109722,42344,,,,,,,1284.8,,,,,
CA-2013-109743,42270,,,,,,,,,,,104.712,
CA-2013-109911,42137,,,,,,,,,,,10.96,
CA-2013-110254,42221,,,,,,,,,,,,158.81
CA-2013-110492,42047,1366.04,,,,,,,,,,,
CA-2013-111409,42266,,,,,,,,,,3,,
CA-2013-111605,42366,,,,,,,,,,2.61,,
CA-2013-112102,42107,,,,,,,,,,448.81,,
CA-2013-112277,42258,,,,,,,,,,,519.68,
CA-2013-112676,42130,,14.352,,,,,,,,,,
CA-2013-112697,42357,,,,,,,,1410.066,,,,
CA-2013-113236,42151,,,,,,,,232.624,,,,
CA-2013-113292,42082,,,,,,,871.8,,,,,
CA-2013-113733,42347,,,,,,,,,,334.256,,
CA-2013-113747,42153,,,,,,,,,,185.88,,
CA-2013-113831,42155,,,,,,,,,,,4317.3,
CA-2013-113845,42329,,,,,,,,,,,574.056,
CA-2013-114713,42193,,,,,,,,,,,45.584,
CA-2013-115504,42076,,,,,,,,,,,12.96,
CA-2013-116232,42270,,,,,,,,,,24.066,,
CA-2013-116764,42244,,,,,,,,,,,9.216,
CA-2013-116918,42279,,,,,,,36.364,,,,,
CA-2013-117604,42252,,,,,,,,,,239.5,,
CA-2013-118073,42229,,,,,,,,,,,562.2925,
CA-2013-118178,42083,,,,,,,,,,,31.086,
CA-2013-118514,42038,,,,,,,,,,866.4,,
CA-2013-118626,42232,,,,,,,,,,705.544,,
CA-2013-118934,42226,,,,,,,,,,,,16.218
CA-2013-119074,42091,,,,,,,,,,,92.7,
CA-2013-119515,42231,15.552,,,,,,,,,,,
CA-2013-119823,42160,75.88,,,,,,,,,,,
CA-2013-120873,42305,,,,,,,290.98,,,,,
CA-2013-121020,42302,,,,,,,,,,,,239.976
CA-2013-121958,42322,,,,,,,,,,52.136,,
CA-2013-122518,42068,,,,,,,,10.08,,,,
CA-2013-123176,42275,,,,,,,31.83,,,,,
CA-2013-123414,42238,,,,,,,,,,,,37.264
CA-2013-123533,42333,,,,,,,,,,,,392.832
CA-2013-123617,42337,,,,,,,,,,,7.434,
CA-2013-123946,42260,,,,,,,,,,,1159.06,
CA-2013-124254,42107,,,,,,,,,,,191.808,
CA-2013-124772,42344,191.82,,,,,,,,,,,
CA-2013-125017,42041,,,,,,,,,,,132.224,
CA-2013-125843,42230,125.92,,,,,,,,,,,
CA-2013-127208,42168,,224.9,,,,,,,,,,
CA-2013-127698,42340,,,,863.928,,,,,,,,
CA-2013-127985,42096,,,,,,,,,7.04,,,
CA-2013-130001,42118,,,,,,,,,,,36.24,
CA-2013-130442,42355,34.944,,,,,,,,,,,
CA-2013-130820,42324,,,,,630.024,,,,,,,
CA-2013-131065,42323,,,,,,,513.52,,,,,
CA-2013-131205,42252,,,,,,,,,,291.74,,
CA-2013-131968,42320,,,,,,,,,,,,681.432
CA-2013-132549,42334,,,,,,,,,,73.36,,
CA-2013-133123,42254,,,,,,,,,,99.156,,
CA-2013-133368,42018,,,,,,,,,,405.344,,
CA-2013-133711,42335,,3236.41,,,,,,,,,,
CA-2013-133872,42170,58.4,,,,,,,,,,,
CA-2013-134208,42265,,,,,,,,,,396,,
CA-2013-134474,42009,,,,,,,,255.904,,,,
CA-2013-134516,42268,,,,,,,,,,,115.48,
CA-2013-134789,42103,,,,,,,,,,,,215.84
CA-2013-135636,42286,,,,,,,,,,387.72,,
CA-2013-136126,42149,,,,,,261.1,,,,,,
CA-2013-136231,42253,,,,,,,228.586,,,,,
CA-2013-136322,42299,,,,,,,,,,,,74.32
CA-2013-136483,42340,,,,,,,,,,4.704,,
CA-2013-137043,42362,,,,,,,859.14,,,,,
CA-2013-137736,42319,,,,,,,,,,41.86,,
CA-2013-138695,42153,,,,,,,,,,,452.464,
CA-2013-139269,42150,,,,,,,,,,,,1311.97
CA-2013-139381,42113,,,,,,,,,,233.48,,
CA-2013-139689,42368,,,,,,,,,,,40.896,
CA-2013-140543,42185,,,,,,,191.88,,,,,
CA-2013-140571,42079,,,,,,,,,,,,365.44
CA-2013-140641,42306,,,,,,,,,,38.19,,
CA-2013-140928,42266,,,,,,,,,,,383.438,
CA-2013-140977,42172,,,,,,,,,91.475,,,
CA-2013-141180,42140,,,,,,,7.764,,,,,
CA-2013-142097,42293,,,,,,,,,,,342.76,
CA-2013-142370,42267,,,,,,,,,,254.99,,
CA-2013-142895,42207,,,,,,,,,,370.184,,
CA-2013-143308,42313,,,,10.74,,,,,,,,
CA-2013-143805,42340,,,,,,,,2145.25,,,,
CA-2013-144344,42306,,,,314.393,,,,,,,,
CA-2013-145247,42130,79.14,,,,,,,,,,,
CA-2013-145499,42155,3.282,,,,,,,,,,,
CA-2013-145709,42282,,,,,,,,,,,64.248,
CA-2013-145905,42266,,,,,,,,,,1264.14,,
CA-2013-146143,42353,,,,,,,,,,133.38,,
CA-2013-146150,42049,,,,,,,,,,264.18,,
CA-2013-146171,42075,,,,,,,,,,,,558.24
CA-2013-147368,42165,695.7,,,,,,,,,,,
CA-2013-148684,42364,,,,,,,,,,870.04,,
CA-2013-149111,42112,,,,,,,,,55.416,,,
CA-2013-149454,42211,,,10.44,,,,,,,,,
CA-2013-149783,42252,,,,,,,131.104,,,,,
CA-2013-149979,42271,,,,,,,487.22,,,,,
CA-2013-150000,42103,,,,,,,,,,17.92,,
CA-2013-151155,42359,,,,,,,,,,,,34.34
CA-2013-152156,42317,,,,,,,993.9,,,,,
CA-2013-152163,42187,,,,85.5,,,,,,,,
CA-2013-152471,42194,,,,839.944,,,,,,,,
CA-2013-153318,42303,,783.96,,,,,,,,,,
CA-2013-154060,42127,,,,,,,,,,187.056,,
CA-2013-154403,42148,,,,,,,,,,,,4.98
CA-2013-154690,42232,,,,,,,225.296,,,,,
CA-2013-155138,42256,,,,,,,,,,99.872,,
CA-2013-155439,42262,,,,,,,,,,,,25.92
CA-2013-155670,42230,,,,,,,21.504,,,,,
CA-2013-156503,42292,,,,,,,,,,305.248,,
CA-2013-156573,42154,,,,,,,,,,60.485,,
CA-2013-157161,42202,,,,,,,,199.18,,,,
CA-2013-157245,42144,,,,,,,,,,641.96,,
CA-2013-157280,42314,1120.73,,,,,,,,,,,
CA-2013-157364,42328,18.48,,,,,,,,,,,
CA-2013-157588,42200,,,,,,,,,,88.15,,
CA-2013-157763,42204,,,,,,,,,,,140.81,
CA-2013-158841,42037,,,,,,,8805.04,,,,,
CA-2013-159142,42099,,,177.78,,,,,,,,,
CA-2013-159212,42310,,,,,,,,,,,,273.59
CA-2013-159653,42147,,,,14.73,,,,,,,,
CA-2013-159765,42134,,,,,,,27.86,,,,,
CA-2013-159891,42035,,,,,,,,,,,,1396.35
CA-2013-159989,42348,,,,,,,,,,40.68,,
CA-2013-160234,42182,,,,,,,,,,135.95,,
CA-2013-160486,42369,,,,,,,,,,72.224,,
CA-2013-160598,42243,,31.008,,,,,,,,,,
CA-2013-162159,42264,,,121.78,,,,,,,,,
CA-2013-162236,42313,,,,,,,,1106.924,,,,
CA-2013-162355,42186,,,,,,,1302.83,,,,,
CA-2013-162747,42084,,,,,,,,86.45,,,,
CA-2013-162901,42092,,31.4,,,,,,,,,,
CA-2013-163167,42337,,,,,,,,2673.69,,,,
CA-2013-163174,42243,,,,,,,,,,186.54,,
CA-2013-163776,42205,,,,,,,,,,1110.5,,
CA-2013-164350,42258,,,,,,,,,67.56,,,
CA-2013-164574,42215,,,,,,,,,,732.156,,
CA-2013-164735,42109,,,,,,,81.2,,,,,
CA-2013-164784,42126,377.346,,,,,,,,,,,
CA-2013-165316,42209,,,,,,,,,,,324.387,
CA-2013-165470,42334,,,,,,,,,,,,5.08
CA-2013-165827,42313,,,,,,,,,,,50.496,
CA-2013-166282,42111,,,,,,,,,,158.256,,
CA-2013-166380,42155,,,,,,,,,,,138.53,
CA-2013-166485,42055,,,,,,,,,,16.496,,
CA-2013-168536,42359,,,,,,,,,,66.3,,
CA-2013-168753,42154,,,,,,,1002.7,,,,,
CA-2013-168893,42312,,,,,,,903.77,,,,,
CA-2013-169026,42225,,,,,,,,,,,,23.34
CA-2013-169103,42072,,,,,,,,,,1466.32,,
CA-2013-169334,42299,,,,,,,111.672,,,,,
CA-2014-100412,42726,,,,,,,,,,,,141.96
CA-2014-100426,42525,,,,,,,,,,12.48,,
CA-2014-100622,42677,,,,,,,,,,1030.742,,
CA-2014-100902,42691,,,,,,,,,,699.4,,
CA-2014-101042,42693,,,,,,,,,,843.84,,
CA-2014-101210,42607,,,,,,,13.152,,,,,
CA-2014-101273,42609,,,,,,,14.336,,,,,
CA-2014-101483,42580,,,,,,,61.216,,,,,
CA-2014-102204,42491,,,,,,,,,,3740.51,,
CA-2014-102309,42636,,,,,,,212.91,,,,,
CA-2014-102554,42532,,,,,,,,,,,,3.76
CA-2014-102610,42678,,,,,,,,,,248.396,,
CA-2014-102736,42618,,,,,,,,,,177.08,,
CA-2014-103009,42677,,,,,,,,26.4,,,,
CA-2014-103065,42663,,,,59.824,,,,,,,,
CA-2014-103212,42656,1541.51,,,,,,,,,,,
CA-2014-103499,42694,,,,,,,,,,209.568,,
CA-2014-104318,42503,,,,,,,,,,,20.768,
CA-2014-104731,42572,,,,,,,,,,951.98,,
CA-2014-104864,42692,,,,,,,,552.856,,,,
CA-2014-105620,42729,141,,,,,,,,,,,
CA-2014-106537,42594,,,,,,,,,,20.736,,
CA-2014-107167,42531,,,,,,,,,,,1347.52,
CA-2014-107209,42578,,,,,,,194.848,,,,,
CA-2014-107461,42725,,,,,,,23.88,,,,,
CA-2014-108035,42703,,,,,,,,,,491.888,,
CA-2014-108112,42689,,,,,,,,,,559.2,,
CA-2014-108287,42722,12.672,,,,,,,,,,,
CA-2014-108322,42490,,,,,,,,,,,26.056,
CA-2014-109183,42708,,,,,,,,,,649,,
CA-2014-109589,42725,71,,,,,,,,,,,
CA-2014-110198,42491,318.96,,,,,,,,,,,
CA-2014-110212,42491,,,,,,,,,,,,48.9
CA-2014-110310,42670,,,,,,,,,,,68.967,
CA-2014-110926,42693,,,,,,,,,,25.06,,
CA-2014-112774,42624,34.504,,,,,,,,,,,
CA-2014-113481,42372,,740.214,,,,,,,,,,
CA-2014-113558,42664,,,,,,,,,,,,729.648
CA-2014-113705,42456,,,,,,,874.8,,,,,
CA-2014-114055,42729,,,,,,,,,819.28,,,
CA-2014-114412,42475,,,,,,,,,,15.552,,
CA-2014-114636,42607,,,,,,,,,,192.16,,
CA-2014-115070,42470,,,,,,,,16.739,,,,
CA-2014-115448,42685,88.92,,,,,,,,,,,
CA-2014-115882,42627,,1017.136,,,,,,,,,,
CA-2014-116113,42645,,,,,,,,10.16,,,,
CA-2014-116855,42721,,,,,,,,,,504.9,,
CA-2014-116939,42638,,,,,,,,,,177.55,,
CA-2014-117079,42666,,,,,,,,,,863.88,,
